Episodes,Episodic Return,Epsilon
1,2,1.0
2,75,0.99985
3,48,0.9997
4,78,0.99955
5,9,0.9994000000000001
6,-8,0.9992500000000001
7,79,0.9991000000000001
8,7,0.9989500000000001
9,1,0.9988000000000001
10,41,0.9986500000000001
11,7,0.9985000000000002
12,88,0.9983500000000002
13,24,0.9982000000000002
14,34,0.9980500000000002
15,9,0.9979000000000002
16,20,0.9977500000000002
17,14,0.9976000000000003
18,74,0.9974500000000003
19,-3,0.9973000000000003
20,-3,0.9971500000000003
21,72,0.9970000000000003
22,30,0.9968500000000003
23,-7,0.9967000000000004
24,-4,0.9965500000000004
25,75,0.9964000000000004
26,13,0.9962500000000004
27,91,0.9961000000000004
28,7,0.9959500000000004
29,8,0.9958000000000005
30,85,0.9956500000000005
31,-6,0.9955000000000005
32,86,0.9953500000000005
33,34,0.9952000000000005
34,-24,0.9950500000000005
35,19,0.9949000000000006
36,70,0.9947500000000006
37,-14,0.9946000000000006
38,37,0.9944500000000006
39,12,0.9943000000000006
40,4,0.9941500000000006
41,20,0.9940000000000007
42,22,0.9938500000000007
43,5,0.9937000000000007
44,-4,0.9935500000000007
45,80,0.9934000000000007
46,70,0.9932500000000007
47,-11,0.9931000000000008
48,-6,0.9929500000000008
49,-2,0.9928000000000008
50,24,0.9926500000000008
51,75,0.9925000000000008
52,-12,0.9923500000000008
53,29,0.9922000000000009
54,-5,0.9920500000000009
55,8,0.9919000000000009
56,28,0.9917500000000009
57,9,0.9916000000000009
58,82,0.9914500000000009
59,28,0.991300000000001
60,69,0.991150000000001
61,97,0.991000000000001
62,18,0.990850000000001
63,91,0.990700000000001
64,34,0.990550000000001
65,6,0.9904000000000011
66,85,0.9902500000000011
67,97,0.9901000000000011
68,-28,0.9899500000000011
69,84,0.9898000000000011
70,14,0.9896500000000011
71,66,0.9895000000000012
72,72,0.9893500000000012
73,8,0.9892000000000012
74,-4,0.9890500000000012
75,79,0.9889000000000012
76,54,0.9887500000000012
77,72,0.9886000000000013
78,30,0.9884500000000013
79,14,0.9883000000000013
80,0,0.9881500000000013
81,27,0.9880000000000013
82,35,0.9878500000000013
83,8,0.9877000000000014
84,62,0.9875500000000014
85,82,0.9874000000000014
86,70,0.9872500000000014
87,7,0.9871000000000014
88,-5,0.9869500000000014
89,69,0.9868000000000015
90,-16,0.9866500000000015
91,13,0.9865000000000015
92,12,0.9863500000000015
93,27,0.9862000000000015
94,23,0.9860500000000015
95,78,0.9859000000000016
96,22,0.9857500000000016
97,8,0.9856000000000016
98,-30,0.9854500000000016
99,-9,0.9853000000000016
100,8,0.9851500000000016
101,81,0.9850000000000017
102,14,0.9848500000000017
103,66,0.9847000000000017
104,25,0.9845500000000017
105,94,0.9844000000000017
106,9,0.9842500000000017
107,80,0.9841000000000018
108,25,0.9839500000000018
109,17,0.9838000000000018
110,-2,0.9836500000000018
111,92,0.9835000000000018
112,69,0.9833500000000018
113,98,0.9832000000000019
114,27,0.9830500000000019
115,3,0.9829000000000019
116,40,0.9827500000000019
117,98,0.9826000000000019
118,27,0.9824500000000019
119,14,0.982300000000002
120,32,0.982150000000002
121,5,0.982000000000002
122,13,0.981850000000002
123,46,0.981700000000002
124,84,0.981550000000002
125,9,0.981400000000002
126,61,0.9812500000000021
127,12,0.9811000000000021
128,-4,0.9809500000000021
129,75,0.9808000000000021
130,5,0.9806500000000021
131,13,0.9805000000000021
132,34,0.9803500000000022
133,73,0.9802000000000022
134,19,0.9800500000000022
135,74,0.9799000000000022
136,29,0.9797500000000022
137,10,0.9796000000000022
138,20,0.9794500000000023
139,18,0.9793000000000023
140,18,0.9791500000000023
141,12,0.9790000000000023
142,25,0.9788500000000023
143,6,0.9787000000000023
144,19,0.9785500000000024
145,28,0.9784000000000024
146,55,0.9782500000000024
147,83,0.9781000000000024
148,-17,0.9779500000000024
149,73,0.9778000000000024
150,62,0.9776500000000025
151,80,0.9775000000000025
152,14,0.9773500000000025
153,-5,0.9772000000000025
154,76,0.9770500000000025
155,2,0.9769000000000025
156,83,0.9767500000000026
157,30,0.9766000000000026
158,11,0.9764500000000026
159,80,0.9763000000000026
160,3,0.9761500000000026
161,78,0.9760000000000026
162,21,0.9758500000000027
163,-10,0.9757000000000027
164,14,0.9755500000000027
165,73,0.9754000000000027
166,30,0.9752500000000027
167,-4,0.9751000000000027
168,75,0.9749500000000028
169,93,0.9748000000000028
170,67,0.9746500000000028
171,74,0.9745000000000028
172,-21,0.9743500000000028
173,29,0.9742000000000028
174,69,0.9740500000000029
175,15,0.9739000000000029
176,80,0.9737500000000029
177,20,0.9736000000000029
178,87,0.9734500000000029
179,80,0.9733000000000029
180,1,0.973150000000003
181,18,0.973000000000003
