Episodes,Episodic Return,Scores,Epsilon
1,50,4,1.0
2,108,0,1.0
3,115,1,0.9940264484836504
4,146,3,0.9880885802850193
5,100,0,0.98218618224797
6,130,1,0.9763190424896652
7,98,0,0.9704869503929601
8,98,0,0.9646896965988427
9,127,1,0.9589270729989179
10,98,0,0.9531988727279366
11,125,3,0.94750489015637
12,131,3,0.9418449208830277
13,114,1,0.9362187617277208
14,86,5,0.9306262107239672
15,74,4,0.9250670671117425
16,118,1,0.919541131330272
17,154,3,0.9140482050108684
18,70,5,0.9085880909698091
19,135,3,0.9031605932012592
20,65,4,0.8977655168702346
21,60,4,0.8924026683056081
22,72,4,0.8870718549931568
23,57,4,0.8817728855686514
24,57,4,0.8765055698109868
25,100,0,0.8712697186353536
26,73,4,0.86606514408645
27,134,1,0.8608916593317348
28,74,4,0.855749078654721
29,108,0,0.8506372174483084
30,112,0,0.8455558922081566
31,146,2,0.8405049205260984
32,106,1,0.8354841210835904
33,81,4,0.8304933136452055
34,93,6,0.8255323190521621
35,73,4,0.8206009592158925
36,95,5,0.8156990571116505
37,104,0,0.8108264367721563
38,147,2,0.8059829232812796
39,63,4,0.8011683427677608
40,142,1,0.7963825223989692
41,78,4,0.7916252903746986
42,63,4,0.7868964759210002
43,116,0,0.7821959092840521
44,67,4,0.777523421724066
45,55,4,0.7728788455092289
46,108,0,0.7682620139096827
47,128,1,0.7636727611915388
48,58,4,0.7591109226109282
49,160,2,0.7545763344080881
50,67,4,0.7500688338014833
51,69,4,0.7455882589819619
52,54,4,0.7411344491069477
53,62,4,0.736707244294666
54,98,5,0.732306485618404
55,77,4,0.7279320151008055
56,98,5,0.7235836757082007
57,85,4,0.7192613113449682
58,74,4,0.7149647668479319
59,110,7,0.7106938879807909
60,77,4,0.7064485214285828
61,50,4,0.7022285147921803
62,93,6,0.6980337165828195
63,106,0,0.6938639762166632
64,90,5,0.6897191440093937
65,169,2,0.6855990711708411
66,87,5,0.6815036097996406
67,140,0,0.6774326128779243
68,71,4,0.6733859342660428
69,98,5,0.6693634286973194
70,80,4,0.6653649517728355
71,66,4,0.6613903599562471
72,89,4,0.6574395105686315
73,108,7,0.6535122617833661
74,99,5,0.649608472621037
75,108,6,0.6457280029443782
76,111,6,0.6418707134532403
77,124,0,0.6380364656795914
78,65,4,0.6342251219825448
79,66,4,0.630436545543419
80,122,5,0.6266706003608259
81,72,4,0.6229271512457888
82,78,5,0.6192060638168891
83,63,4,0.6155072044954429
84,87,5,0.6118304405007051
85,83,4,0.6081756398451034
86,54,4,0.6045426713294998
87,110,5,0.6009314045384814
88,92,6,0.5973417098356785
89,100,6,0.5937734583591108
90,101,6,0.5902265220165616
91,100,5,0.5867007734809797
92,85,5,0.583196086185909
93,58,5,0.579712334320944
94,108,7,0.5762493928272147
95,77,4,0.5728071373928961
96,115,6,0.569385444448747
97,170,6,0.5659841911636727
98,72,4,0.5626032554403171
99,75,4,0.5592425159106784
100,204,8,0.555901851931753
101,77,5,0.5525811435812046
102,98,5,0.5492802716530589
103,137,6,0.5459991176534249
104,99,6,0.5427375637962407
105,78,4,0.5394954929990459
106,73,4,0.5362727888787776
107,81,5,0.5330693357475939
108,141,8,0.5298850186087193
109,80,4,0.5267197231523183
110,99,5,0.5235733357513905
111,133,5,0.5204457434576927
112,72,4,0.5173368339976833
113,87,5,0.5142464957684929
114,97,4,0.5111746178339176
115,148,7,0.5081210899204364
116,147,4,0.505085802413253
117,67,4,0.5020686463523606
118,77,4,0.49906951342863093
119,73,4,0.4960882959799255
120,88,4,0.49312488698723134
121,63,4,0.49017918007081906
122,67,4,0.48725106948642405
123,250,15,0.4843404501214505
124,138,8,0.48144721749119807
125,76,4,0.4785712677351112
126,86,5,0.4757124976130508
127,166,8,0.4728708045015879
128,112,6,0.47004608639032003
129,60,4,0.46723824187820895
130,108,6,0.4644471701699409
131,103,5,0.461672771072308
132,94,5,0.4589149449906117
133,85,5,0.4561735929250876
134,74,5,0.4534486164673513
135,64,4,0.4507399177968661
136,174,10,0.44804739967743135
137,126,6,0.44537096545369176
138,91,4,0.4427105190476678
139,94,5,0.4400659649553067
140,129,8,0.4374372082430541
141,112,7,0.43482415454444606
142,119,7,0.4322267100567217
143,99,5,0.4296447815374556
