,Episodes,Episodic Return,Epsilon
0,0,-80,1.0
1,1,-100,0.99
2,2,-100,0.98
3,3,-90,0.97
4,4,-90,0.96
5,5,-100,0.95
6,6,-100,0.94
7,7,-100,0.9299999999999999
8,8,-80,0.9199999999999999
9,9,-100,0.9099999999999999
10,10,-100,0.8999999999999999
11,11,-100,0.8899999999999999
12,12,-100,0.8799999999999999
13,13,-100,0.8699999999999999
14,14,-100,0.8599999999999999
15,15,-90,0.8499999999999999
16,16,-100,0.8399999999999999
17,17,-100,0.8299999999999998
18,18,-90,0.8199999999999998
19,19,-100,0.8099999999999998
20,20,-100,0.7999999999999998
21,21,-100,0.7899999999999998
22,22,-100,0.7799999999999998
23,23,-100,0.7699999999999998
24,24,-90,0.7599999999999998
25,25,-100,0.7499999999999998
26,26,-100,0.7399999999999998
27,27,-100,0.7299999999999998
28,28,-100,0.7199999999999998
29,29,-100,0.7099999999999997
30,30,-100,0.6999999999999997
31,31,-100,0.6899999999999997
32,32,-100,0.6799999999999997
33,33,-100,0.6699999999999997
34,34,-80,0.6599999999999997
35,35,-100,0.6499999999999997
36,36,-100,0.6399999999999997
37,37,-90,0.6299999999999997
38,38,-100,0.6199999999999997
39,39,-100,0.6099999999999997
40,40,-100,0.5999999999999996
41,41,-100,0.5899999999999996
42,42,-90,0.5799999999999996
43,43,-100,0.5699999999999996
44,44,-90,0.5599999999999996
45,45,-90,0.5499999999999996
46,46,-100,0.5399999999999996
47,47,-90,0.5299999999999996
48,48,-90,0.5199999999999996
49,49,-100,0.5099999999999996
50,50,-80,0.49999999999999956
51,51,-90,0.48999999999999955
52,52,-100,0.47999999999999954
53,53,-80,0.46999999999999953
54,54,-100,0.4599999999999995
55,55,-90,0.4499999999999995
56,56,-100,0.4399999999999995
57,57,-60,0.4299999999999995
58,58,-60,0.4199999999999995
59,59,-90,0.4099999999999995
60,60,-90,0.39999999999999947
61,61,-100,0.38999999999999946
62,62,-70,0.37999999999999945
63,63,-100,0.36999999999999944
64,64,-90,0.35999999999999943
65,65,-80,0.3499999999999994
66,66,-100,0.3399999999999994
67,67,-90,0.3299999999999994
68,68,-90,0.3199999999999994
69,69,-80,0.3099999999999994
70,70,-60,0.2999999999999994
71,71,-50,0.28999999999999937
72,72,-100,0.27999999999999936
73,73,-90,0.26999999999999935
74,74,-90,0.25999999999999934
75,75,-100,0.24999999999999933
76,76,-80,0.23999999999999932
77,77,-70,0.22999999999999932
78,78,-90,0.2199999999999993
79,79,-80,0.2099999999999993
80,80,-100,0.1999999999999993
81,81,-80,0.18999999999999928
82,82,-90,0.17999999999999927
83,83,-60,0.16999999999999926
84,84,-90,0.15999999999999925
85,85,-90,0.14999999999999925
86,86,-80,0.13999999999999924
87,87,-90,0.12999999999999923
88,88,-100,0.11999999999999923
89,89,-80,0.10999999999999924
90,90,-50,0.09999999999999924
91,91,-100,0.08999999999999925
92,92,-80,0.07999999999999925
93,93,-40,0.06999999999999926
94,94,-100,0.059999999999999255
95,95,-90,0.04999999999999925
96,96,-60,0.03999999999999925
97,97,-70,0.02999999999999925
98,98,-80,0.019999999999999248
99,99,-100,0.009999999999999247
100,100,-80,0.01
101,101,-60,0.01
102,102,-100,0.01
103,103,-30,0.01
104,104,-70,0.01
105,105,-80,0.01
106,106,-70,0.01
107,107,-90,0.01
108,108,-100,0.01
109,109,-50,0.01
110,110,-60,0.01
111,111,-50,0.01
112,112,-80,0.01
113,113,-80,0.01
114,114,-30,0.01
115,115,-100,0.01
116,116,-60,0.01
117,117,-90,0.01
118,118,-100,0.01
119,119,-10,0.01
120,120,-80,0.01
121,121,-70,0.01
122,122,-40,0.01
123,123,-70,0.01
124,124,-50,0.01
125,125,-70,0.01
126,126,-60,0.01
127,127,-50,0.01
128,128,-70,0.01
129,129,-70,0.01
130,130,-30,0.01
131,131,-60,0.01
132,132,-80,0.01
133,133,-60,0.01
134,134,-60,0.01
135,135,-30,0.01
136,136,-90,0.01
137,137,-60,0.01
138,138,-70,0.01
139,139,-80,0.01
140,140,-50,0.01
141,141,-60,0.01
142,142,-70,0.01
143,143,-80,0.01
144,144,-30,0.01
145,145,-40,0.01
146,146,0,0.01
147,147,-40,0.01
148,148,-100,0.01
149,149,-40,0.01
150,150,-20,0.01
151,151,-60,0.01
152,152,-60,0.01
153,153,60,0.01
154,154,40,0.01
155,155,-70,0.01
156,156,-10,0.01
157,157,-40,0.01
158,158,20,0.01
159,159,-70,0.01
160,160,-40,0.01
161,161,-90,0.01
162,162,-50,0.01
163,163,-100,0.01
164,164,-60,0.01
165,165,20,0.01
166,166,-40,0.01
167,167,-50,0.01
168,168,-80,0.01
169,169,-40,0.01
170,170,-70,0.01
171,171,-60,0.01
172,172,-70,0.01
173,173,-40,0.01
174,174,-30,0.01
175,175,-30,0.01
176,176,-70,0.01
177,177,-70,0.01
178,178,-60,0.01
179,179,-70,0.01
180,180,-60,0.01
181,181,-70,0.01
182,182,-40,0.01
183,183,-40,0.01
184,184,-50,0.01
185,185,-20,0.01
186,186,-70,0.01
187,187,-100,0.01
188,188,-70,0.01
189,189,-70,0.01
190,190,-60,0.01
191,191,-40,0.01
192,192,-60,0.01
193,193,-90,0.01
194,194,-50,0.01
195,195,-50,0.01
196,196,-90,0.01
197,197,-50,0.01
198,198,-40,0.01
199,199,-100,0.01
