Episodes,Episodic Return,Epsilon
1,-92,1.0
2,-76,0.9925
3,-78,0.9850000000000001
4,-109,0.9775000000000001
5,-8,0.9700000000000002
6,-102,0.9625000000000002
7,-145,0.9550000000000003
8,-60,0.9475000000000003
9,-16,0.9400000000000004
10,-90,0.9325000000000004
11,-100,0.9250000000000005
12,-35,0.9175000000000005
13,6,0.9100000000000006
14,-11,0.9025000000000006
15,-75,0.8950000000000007
16,-134,0.8875000000000007
17,-68,0.8800000000000008
18,9,0.8725000000000008
19,-29,0.8650000000000009
20,-48,0.8575000000000009
21,7,0.850000000000001
22,-25,0.842500000000001
23,33,0.8350000000000011
24,-96,0.8275000000000011
25,26,0.8200000000000012
26,8,0.8125000000000012
27,6,0.8050000000000013
28,-82,0.7975000000000013
29,-65,0.7900000000000014
30,6,0.7825000000000014
31,-50,0.7750000000000015
32,-51,0.7675000000000015
33,-33,0.7600000000000016
34,-5,0.7525000000000016
35,-34,0.7450000000000017
36,-108,0.7375000000000017
37,-55,0.7300000000000018
38,4,0.7225000000000018
39,8,0.7150000000000019
40,-47,0.7075000000000019
41,18,0.700000000000002
42,20,0.692500000000002
43,-84,0.685000000000002
44,12,0.6775000000000021
45,18,0.6700000000000021
46,9,0.6625000000000022
47,18,0.6550000000000022
48,1,0.6475000000000023
49,-16,0.6400000000000023
50,-18,0.6325000000000024
51,-10,0.6250000000000024
52,28,0.6175000000000025
53,8,0.6100000000000025
54,27,0.6025000000000026
55,-21,0.5950000000000026
56,13,0.5875000000000027
57,12,0.5800000000000027
58,19,0.5725000000000028
59,16,0.5650000000000028
60,37,0.5575000000000029
61,20,0.5500000000000029
62,9,0.542500000000003
63,32,0.535000000000003
64,51,0.5275000000000031
65,12,0.5200000000000031
66,24,0.5125000000000032
67,29,0.5050000000000032
68,34,0.4975000000000032
69,46,0.4900000000000032
70,4,0.4825000000000032
71,41,0.4750000000000032
72,36,0.4675000000000032
73,35,0.4600000000000032
74,30,0.4525000000000032
75,26,0.44500000000000317
76,21,0.43750000000000316
77,35,0.43000000000000316
78,27,0.42250000000000315
79,13,0.41500000000000314
80,29,0.40750000000000314
81,25,0.40000000000000313
82,48,0.3925000000000031
83,60,0.3850000000000031
84,30,0.3775000000000031
85,-8,0.3700000000000031
86,27,0.3625000000000031
87,25,0.3550000000000031
88,49,0.3475000000000031
89,48,0.3400000000000031
90,29,0.33250000000000307
91,40,0.32500000000000306
92,28,0.31750000000000306
93,112,0.31000000000000305
94,38,0.30250000000000304
95,31,0.29500000000000304
96,54,0.28750000000000303
97,32,0.280000000000003
98,45,0.272500000000003
99,84,0.265000000000003
100,52,0.257500000000003
101,53,0.250000000000003
102,72,0.242500000000003
103,44,0.23500000000000298
104,35,0.22750000000000298
105,49,0.22000000000000297
106,69,0.21250000000000296
107,44,0.20500000000000296
108,35,0.19750000000000295
109,83,0.19000000000000294
110,37,0.18250000000000294
111,56,0.17500000000000293
112,86,0.16750000000000292
113,29,0.16000000000000292
114,88,0.1525000000000029
115,90,0.1450000000000029
116,85,0.1375000000000029
117,109,0.1300000000000029
118,54,0.12250000000000288
119,116,0.11500000000000288
120,64,0.10750000000000287
121,65,0.10000000000000286
122,81,0.09250000000000286
123,124,0.08500000000000285
124,37,0.07750000000000284
125,48,0.07000000000000284
126,124,0.06250000000000283
127,100,0.05500000000000283
128,49,0.04750000000000283
129,90,0.04000000000000283
130,96,0.03250000000000283
131,98,0.025000000000002832
132,207,0.017500000000002833
133,193,0.010000000000002833
134,156,0.0025000000000028333
135,133,0.01
136,50,0.01
137,139,0.01
138,89,0.01
139,125,0.01
140,80,0.01
141,58,0.01
142,68,0.01
143,38,0.01
144,88,0.01
145,95,0.01
146,68,0.01
147,50,0.01
148,99,0.01
149,67,0.01
150,58,0.01
151,155,0.01
152,86,0.01
153,127,0.01
154,80,0.01
155,77,0.01
156,46,0.01
157,78,0.01
158,97,0.01
159,139,0.01
160,119,0.01
161,99,0.01
162,40,0.01
163,104,0.01
164,156,0.01
165,40,0.01
166,34,0.01
167,127,0.01
168,104,0.01
169,90,0.01
170,59,0.01
171,60,0.01
172,39,0.01
173,98,0.01
174,143,0.01
175,108,0.01
176,60,0.01
177,154,0.01
178,100,0.01
179,87,0.01
180,40,0.01
181,118,0.01
182,60,0.01
183,99,0.01
184,93,0.01
185,149,0.01
186,205,0.01
187,188,0.01
188,129,0.01
189,39,0.01
190,68,0.01
191,38,0.01
192,99,0.01
193,116,0.01
194,57,0.01
195,150,0.01
196,39,0.01
197,108,0.01
198,107,0.01
199,69,0.01
200,136,0.01
